报道时间,省份,城市,新增确诊,新增出院,新增死亡,消息来源,来源链接1,来源链接2,来源链接3,备注
2020年1月21日,北京,丰台区,1,0,0,北京市卫健委,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202001/t20200121_1620353.html,,,
2020年1月21日,北京,海淀区,1,0,0,北京市卫健委,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202001/t20200121_1620353.html,,,
2020年1月21日,北京,西城区,1,0,0,北京市卫健委,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202001/t20200121_1620353.html,,,
2020年1月21日,北京,通州区,1,0,0,北京市卫健委,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202001/t20200121_1620353.html,,,
2020年1月21日,北京,海淀区,1,0,0,北京市卫健委,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202001/t20200121_1620353.html,,,
2020年1月21日,云南,昆明市,1,0,0,昆明卫健委公号,https://mp.weixin.qq.com/s/9F-8GVfVxelda-aiK0Quzg,,,
2020年1月21日,山东,青岛市,1,0,0,山东卫健委公号,https://mp.weixin.qq.com/s/iMF7880p_E9HW1uWgPjr3w,,,
2020年1月21日,黑龙江,牡丹江市,0,0,0,牡丹江市卫生健康委,https://m.thepaper.cn/newsDetail_forward_5591330,,,
2020年1月22日,湖南,长沙市,1,0,0,国家卫健委,https://mp.weixin.qq.com/s/DVgzG955D1GDjeHm9kHE4g,,,
2020年1月22日,四川,广安市,1,0,0,国家卫健委,https://weibo.com/5867967180/IqE9NxgEK?type=comment#_rnd1580103306701,,,
2020年1月22日,江西,抚州市,1,0,0,江西省卫健委,https://m.thepaper.cn/newsDetail_forward_5594388,,,
2020年1月22日,江西,萍乡市,1,0,0,江西省卫健委,https://m.thepaper.cn/newsDetail_forward_5594388,,,
2020年1月22日,美国,,1,0,0,美国疾病预防控制中心,http://www.xinhuanet.com//2020-01/22/c_1125491626.htm,,,
2020年1月22日,湖北,荆门市,0,0,0,"荆门市新型冠状病毒感染的肺炎联防
联控工作领导小组办公室",https://mp.weixin.qq.com/s/i-67gM_-8TB8WapP8frXqw,,,
2020年1月22日,上海,,3,0,0,健康上海,https://www.thepaper.cn/newsDetail_forward_5597421,,,
2020年1月22日,澳门,澳门,1,0,0,澳门特区政府,http://www.xinhuanet.com/2020-01/22/c_1125493491.htm,,,
2020年1月22日,泰国,,1,0,0,国家卫健委,https://news.163.com/20/0122/10/F3G4DE4T0001899O.html,,,
2020年1月22日,安徽,合肥市,0,0,0,安徽省卫健委,http://wjw.ah.gov.cn/news_details_53880.html,,,
2020年1月22日,广西,梧州市,0,0,0,广西卫健委,http://wsjkw.gxzf.gov.cn/gzdt/bt/2020/0121/67894.html,,,
2020年1月22日,广东,广州市,2,0,0,广东卫健委,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2877905.html,,,
2020年1月22日,广东,深圳市,4,0,0,广东卫健委,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2877905.html,,,
2020年1月22日,广东,佛山市,1,0,0,广东卫健委,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2877905.html,,,
2020年1月22日,广东,韶关市,2,0,0,广东卫健委,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2877905.html,,,
2020年1月22日,浙江,宁波市,3,0,0,浙江卫健委,https://www.zjwjw.gov.cn/art/2020/1/22/art_1202101_41813901.html,,,
2020年1月22日,浙江,温州市,2,0,0,浙江卫健委,https://www.zjwjw.gov.cn/art/2020/1/22/art_1202101_41813901.html,,,
2020年1月22日,天津,,2,0,0,央视新闻,https://baijiahao.baidu.com/s?id=1656408929108541339&wfr=spider&for=pc,,,
2020年1月22日,江苏,扬州市,0,0,0,人民网,http://js.people.com.cn/n2/2020/0122/c360303-33739353.html,,,
2020年1月22日,湖北,武汉市,0,3,3,国家卫健委,http://www.nhc.gov.cn/yjb/s3578/202001/a3c8b5144067417889d8760254b1a7ca.shtml?from=timeline&isappinstalled=0,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/202001/t20200122_2014327.shtml,,
2020年1月22日,辽宁,大连市,1,0,0,辽宁省卫健委,https://www.thepaper.cn/newsDetail_forward_5599063,,,
2020年1月22日,辽宁,沈阳市,1,0,0,辽宁省卫健委,https://www.thepaper.cn/newsDetail_forward_5599063,,,
2020年1月22日,湖北,武汉市,105,0,0,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/tzgg/202001/t20200122_2014328.shtml,,,
2020年1月22日,海南,三亚市,1,0,0,中国日报,https://baijiahao.baidu.com/s?id=1656431507623804120&wfr=spider&for=pc,,,
2020年1月22日,海南,海口市,2,0,0,中国日报,https://baijiahao.baidu.com/s?id=1656431507623804120&wfr=spider&for=pc,,,
2020年1月22日,海南,临高县,1,0,0,中国日报,https://baijiahao.baidu.com/s?id=1656431507623804120&wfr=spider&for=pc,,,
2020年1月22日,福建,福州市,1,0,0,福建省卫生健康委员会,https://c.m.163.com/news/a/F3GVST2U0001899O.html?spss=newsapp&from=timeline&isappinstalled=0&spssid=758bf3a111b4080eb7ab0ff8c5f8c86d&spsw=1&isFromH5Share=article,,,
2020年1月22日,湖南,怀化市,3,0,0,湖南省卫生健康委员会,https://m.thepaper.cn/newsDetail_forward_5600239,,,
2020年1月22日,贵州,贵阳市,1,0,0,贵阳市卫生健康局,https://wap.peopleapp.com/article/5068001/4962336,,,
2020年1月22日,四川,成都市,1,0,0,人民日报,https://wap.peopleapp.com/article/5068021/4962357,,,
2020年1月22日,四川,绵阳市,2,0,0,人民日报,https://wap.peopleapp.com/article/5068021/4962357,,,
2020年1月22日,山西,太原市,1,0,0,央视新闻,https://m.bjnews.com.cn/detail/157968956415184.html,,,
2020年1月22日,重庆,垫江县,1,0,0,重庆卫建委,http://cq.people.com.cn/n2/2020/0122/c365401-33739761.html,,,
2020年1月22日,宁夏,银川市,1,0,0,宁夏卫健委官网,https://m.bjnews.com.cn/detail/157969153915252.html,,,
2020年1月22日,广西,北海市,1,0,0,广西卫健委,https://m.bjnews.com.cn/detail/157969183415259.html,,,
2020年1月22日,广西,梧州市,1,0,0,广西卫健委,https://m.bjnews.com.cn/detail/157969183415259.html,,,
2020年1月22日,河南,三门峡市,1,0,0,河南卫健委,https://wap.peopleapp.com/article/5068074/4962426,,,
2020年1月22日,河南,洛阳市,1,0,0,河南卫健委,https://wap.peopleapp.com/article/5068074/4962426,,,
2020年1月22日,河南,郑州市,2,0,0,河南卫健委,https://wap.peopleapp.com/article/5068074/4962426,,,
2020年1月22日,安徽,合肥市,1,0,0,安徽卫健委,https://www.thepaper.cn/newsDetail_forward_5600168,,,
2020年1月22日,山东,威海市,1,0,0,山东卫健委,https://wap.peopleapp.com/article/5068189/4962549,,,
2020年1月22日,湖北,武汉市,62,0,8,新华社,http://finance.sina.com.cn/wm/2020-01-23/doc-iihnzhha4213393.shtml,http://www.eeo.com.cn/2020/0123/374838.shtml,,
